Asthma,USA-WC(Illumina MiSeq-Paired),Italy-Milan (Saliva-Illumina MiSeq-Paired),France (Stool-Illumina MiSeq-Paired),Germany(Stool-Illumina MiSeq-Paired),India (Nasal-MinION-Single),North America- New York (Nasal-Illumina MiSeq-Paired),Japan-tokyo (Stool-Illumina MiSeq-Paired),USA Nashville (Nasal-Illumina MiSeq-Paired),China (Stool-Illumina MiSeq-Paired),Morocco_(Stool-Illumina_Miseq_Paired)
No,ERR9125936,SRR15318608,SRR17194261,SRR15175319,SRR16555285,,DRR328628,SRR15225298,SRR13760949
No,ERR9125938,SRR15318609,SRR17194262,SRR15175320,SRR16555287,,DRR328630,SRR15225299,SRR13760950
No,ERR9125939,SRR15318610,SRR17194263,SRR15175321,SRR16555288,,DRR328631,SRR15225300,SRR13760951
No,ERR9125941,SRR15318611,SRR17194264,SRR15175322,SRR16555291,,,SRR15225301,SRR13760952
No,ERR9125942,SRR15318612,SRR17194265,SRR15175323,SRR16555292,,,SRR15225302,SRR13760953
Yes,ERR9125944,SRR15318613,SRR17194266,SRR15175324,SRR16555294,,,SRR15225303,SRR13760954
No,ERR9125945,SRR15318614,SRR17194267,SRR15175325,SRR16555296,,,SRR15225304,SRR13760955
No,ERR9125947,SRR15318615,SRR17194268,SRR15175326,SRR16555297,,,SRR15225305,SRR13760956
No,ERR9125948,SRR15318616,SRR17194269,SRR15175327,SRR16555298,,,SRR15225306,SRR13760957
No,ERR9125950,SRR15318617,SRR17194270,SRR15175328,SRR16555300,,,SRR15225307,SRR13760958
No,ERR9125951,SRR15318618,SRR17194271,SRR15175329,SRR16555303,,,SRR15225308,SRR13760959
No,ERR9125953,,SRR17194272,SRR15175330,SRR16555305,,,SRR15225309,SRR13760960
Yes,ERR9125954,,SRR17194273,SRR15175331,SRR16555307,,,SRR15225310,SRR13760961
Yes,ERR9125956,,SRR17194274,SRR15175332,SRR16555308,,,SRR15225311,SRR13760962
No,ERR9125957,,SRR17194275,SRR15175333,SRR16555310,,,SRR15225312,SRR13760963
No,ERR9125959,,SRR17194276,SRR15175334,SRR16555312,,,SRR15225313,SRR13760964
No,ERR9125960,,SRR17194277,SRR15175335,,,,SRR15225314,SRR13760965
No,ERR9125962,,SRR17194278,SRR15175336,,,,SRR15225315,SRR13760966
No,ERR9125963,,SRR17194279,SRR15175337,,,,SRR15225316,SRR13760967
No,ERR9125965,,SRR17194280,SRR15175338,,,,SRR15225317,SRR13760968
No,ERR9125966,,SRR17194281,SRR15175339,,,,SRR15225318,SRR13760969
No,ERR9125968,,SRR17194282,SRR15175340,,,,SRR15225319,SRR13760970
No,ERR9125969,,SRR17194283,SRR15175341,,,,SRR15225320,SRR13760971
No,ERR9125971,,SRR17194284,SRR15175342,,,,SRR15225321,SRR13760972
No,ERR9125972,,SRR17194285,SRR15175343,,,,SRR15225322,SRR13760973
Yes,ERR9125977,,SRR17194286,SRR15175344,,,,SRR15225323,SRR13760974
No,ERR9125978,,SRR17194287,SRR15175347,,,,SRR15225324,SRR13760975
No,ERR9125980,,SRR17194288,SRR15175352,,,,SRR15225325,SRR13760976
No,ERR9125981,,SRR17194289,SRR15175357,,,,SRR15225326,SRR13760977
No,ERR9125983,,SRR17194290,SRR15175362,,,,SRR15225327,SRR13760978
No,ERR9125984,,SRR17194291,SRR15175367,,,,SRR15225328,SRR13760979
No,ERR9125986,,SRR17194292,SRR15175369,,,,,SRR13760980
No,ERR9125987,,SRR17194293,SRR15175373,,,,,SRR13760981
No,ERR9125989,,SRR17194294,SRR15175375,,,,,SRR13760982
No,ERR9125990,,SRR17194295,SRR15175378,,,,,SRR13760983
No,ERR9125992,,SRR17194296,SRR15175381,,,,,SRR13760984
No,ERR9125993,,SRR17194297,SRR15175383,,,,,SRR13760985
Yes,ERR9125998,,SRR17194298,SRR15175385,,,,,SRR13760986
Yes,ERR9125999,,SRR17194299,SRR15175387,,,,,SRR13760987
